ID_cliente,Altura_cm,Peso_kg,Gasto_mensual,Años_experiencia,Compras_mes,Región,Nivel_estudios
1,175.0,60.5,1162.0,5.6,3.0,Norte,Básica
2,168.6,68.6,913.0,1.6,4.0,Sur,Grado
3,176.5,76.1,718.0,2.3,2.0,Este,Máster
4,185.2,80.4,1261.0,6.5,2.0,Oeste,Doctorado
5,167.7,55.6,973.0,5.3,,Norte,Básica
6,167.7,66.0,773.0,4.6,1.0,Sur,Grado
7,185.8,64.3,1006.0,5.0,1.0,Este,Máster
8,177.7,62.2,876.0,5.7,5.0,Oeste,Doctorado
9,165.3,91.2,1706.0,3.9,0.0,Norte,Básica
10,175.4,74.9,1464.0,3.4,2.0,Sur,Grado
11,165.4,54.9,1198.0,5.4,3.0,Este,Máster
12,165.3,81.0,1644.0,3.0,2.0,Oeste,Doctorado
13,172.4,95.5,1223.0,5.8,2.0,Norte,Básica
14,150.9,82.4,942.0,1.6,1.0,Sur,Grado
15,152.8,51.8,1657.0,7.1,1.0,Este,Máster
16,164.4,64.2,1362.0,5.9,3.0,Oeste,Doctorado
17,159.9,85.2,889.0,5.5,1.0,Norte,Básica
18,173.1,61.5,1143.0,7.0,2.0,Sur,Grado
19,160.9,75.3,937.0,8.3,0.0,Este,Máster
20,155.9,79.3,785.0,7.0,1.0,Oeste,Doctorado
21,184.7,58.9,1478.0,1.3,7.0,Norte,Básica
22,167.7,69.3,1773.0,2.4,6.0,Sur,Grado
23,170.7,31.1,780.0,3.8,1.0,Este,Máster
24,155.8,57.7,1369.0,5.1,1.0,Oeste,Doctorado
25,164.6,67.0,1005.0,6.0,4.0,Norte,Básica
26,171.1,55.0,1054.0,3.5,5.0,Sur,Grado
27,158.5,89.6,1022.0,5.4,5.0,Este,Máster
28,173.8,52.8,941.0,3.5,,Oeste,Doctorado
29,164.0,64.7,1215.0,3.8,5.0,Norte,Básica
30,167.1,71.6,951.0,2.2,3.0,Sur,Grado
31,164.0,87.3,1281.0,3.2,7.0,Este,Máster
32,188.5,52.8,1185.0,2.3,3.0,Oeste,Doctorado
33,169.9,84.0,1128.0,3.0,3.0,Norte,Básica
34,159.4,70.1,928.0,7.1,3.0,Sur,Grado
35,178.2,58.2,1027.0,3.1,4.0,Este,Máster
36,157.8,75.5,1427.0,10.3,4.0,Oeste,Doctorado
37,172.1,72.4,1350.0,6.0,3.0,Norte,Básica
38,150.4,62.8,907.0,5.4,3.0,Sur,Grado
39,156.7,70.8,1230.0,3.3,3.0,Este,Máster
40,172.0,65.4,1425.0,6.4,2.0,Oeste,Doctorado
41,177.4,71.4,699.0,3.8,4.0,Norte,Básica
42,171.7,77.9,1363.0,5.2,1.0,Sur,Grado
43,168.8,89.0,1001.0,10.1,0.0,Este,Máster
44,167.0,55.1,1371.0,4.8,7.0,Oeste,Doctorado
45,155.2,95.6,971.0,7.3,1.0,Norte,Básica
46,162.8,46.6,659.0,3.6,1.0,Sur,Grado
47,165.4,68.2,712.0,4.9,1.0,Este,Máster
48,180.6,77.1,1214.0,8.5,3.0,Oeste,Doctorado
49,173.4,73.4,1278.0,3.7,1.0,Norte,Básica
50,152.4,62.5,929.0,8.6,3.0,Sur,Grado
51,173.2,67.5,1392.0,6.4,6.0,Este,Máster
52,166.1,64.1,702.0,3.9,1.0,Oeste,Doctorado
53,163.2,62.9,1180.0,6.3,2.0,Norte,Básica
54,176.1,80.2,837.0,6.9,3.0,Sur,Grado
55,180.3,74.3,1004.0,6.2,3.0,Este,Máster
56,179.3,61.7,1214.0,1.9,7.0,Oeste,Doctorado
57,161.6,80.8,942.0,3.5,5.0,Norte,Básica
