user_id,age,monthly_hours,watching_peak_time,preferred_content_type,preferred_genre,binge_watcher,subscription_type,platform_frequency,gender
1,49.0,"155,76450751194105",Afternoon,Movies,Drama,1.0,Family,Weekly,Woman
2,54.0,"227,68436478212507",Afternoon,Movies,Science Fiction,0.0,Family,Weekly,Woman
3,37.0,"136,70392900010995",Afternoon,Documentaries,Science Fiction,1.0,Family,Weekly,Man
4,53.0,"142,6274395163781",Afternoon,Documentaries,Horror,1.0,Family,Weekly,Woman
5,32.0,"199,4298305733049",Afternoon,Movies,Science Fiction,0.0,Family,Weekly,Man
6,51.0,"129,13720876762966",Night,Anime,Science Fiction,0.0,Premium,Weekly,Woman
7,35.0,"164,01154569823592",Afternoon,Documentaries,Science Fiction,0.0,Family,Weekly,Man
8,40.0,"156,86875315910996",Morning,Anime,Horror,0.0,Family,Weekly,Woman
9,64.0,"215,2344983170582",Afternoon,Movies,Science Fiction,1.0,Family,Weekly,Man
10,34.0,"177,82287533762977",Afternoon,Documentaries,Science Fiction,0.0,Family,Weekly,Man
11,53.0,"162,26757216499942",Afternoon,Movies,Drama,1.0,Family,Weekly,Woman
12,42.0,"148,30917076364264",Late Night,Documentaries,Drama,0.0,Premium,Weekly,Man
13,49.0,"195,23133979048987",Night,Movies,Science Fiction,1.0,Student,Weekly,Woman
14,57.0,nan,Morning,Documentaries,Science Fiction,1.0,Family,Weekly,Woman
15,54.0,"127,65675483203614",Night,Documentaries,Science Fiction,1.0,Family,Weekly,Woman
16,34.0,"100,90903871036303",Night,Anime,Science Fiction,0.0,Premium,Weekly,Woman
17,39.0,"171,6070062324091",Afternoon,Documentaries,Science Fiction,0.0,Premium,Weekly,Woman
18,28.0,"191,7424149189636",Night,Anime,Science Fiction,0.0,Premium,Weekly,Woman
19,32.0,"146,27896169500534",Night,Documentaries,Drama,0.0,Premium,Weekly,Man
20,57.0,"160,978554598717",Night,Movies,Science Fiction,1.0,Family,Weekly,Man
21,60.0,"160,2740222714441",Night,Movies,Science Fiction,1.0,Family,Weekly,Woman
22,62.0,"167,1889963136149",Afternoon,Movies,Science Fiction,1.0,Family,Daily,Woman
23,55.0,"212,89151502116755",Night,Movies,Science Fiction,1.0,Family,Weekly,Woman
24,31.0,"232,76423638621557",Afternoon,Movies,Drama,0.0,Family,Weekly,Woman
25,48.0,"145,34543162059128",Night,Documentaries,Horror,1.0,Family,Weekly,Man
26,30.0,"259,3760910220953",Afternoon,Movies,Drama,0.0,Family,Weekly,Man
27,39.0,"98,0324697881831",Night,Anime,Science Fiction,0.0,Premium,Weekly,Man
28,70.0,"116,9539536476358",Night,Movies,Science Fiction,1.0,Family,Daily,Man
29,56.0,"134,9906298297026",Night,Movies,Science Fiction,1.0,Family,Weekly,Woman
30,58.0,"131,11306773622513",Night,Movies,Science Fiction,1.0,Family,Weekly,Woman
